SYSTOLIC_PRESSURE,DIASTOLIC_PRESSURE,HEART_RATE,PULSE_RATE,BLOOD_VISCOSITY,EMOTION
117,79,58,58,0.331735,HAPPY
123,77,62,62,0.307456,DEPRESSED
132,89,87,87,0.403347866,STRESSED
120,81,67,67,0.338588779,HAPPY
139,82,85,85,0.417814,STRESSED
135,87,80,80,0.394926,STRESSED
121,81,58,58,0.32967,HAPPY
115,78,62,62,0.338895,HAPPY
135,82,79,79,0.401761,STRESSED
137,83,87,87,0.411535,STRESSED
115,81,73,73,0.324116,HAPPY
126,77,70,70,0.392993,SAD
121,79,58,58,0.326683,HAPPY
125,82,64,64,0.347343,DEPRESSED
115,79,63,63,0.32207,HAPPY
129,80,61,61,0.316993,DEPRESSED
123,77,64,64,0.384562,SAD
130,81,66,66,0.39148,SAD
121,80,68,68,0.326328,HAPPY
127,82,63,63,0.323037,DEPRESSED
123,78,68,68,0.399152,SAD
117,80,60,60,0.329802,HAPPY
175,93,103,103,0.380755,ANGRY
126,77,65,65,0.307347,DEPRESSED
125,79,67,67,0.392849,SAD
121,80,71,71,0.391165,SAD
178,85,102,102,0.362667,ANGRY
121,80,59,59,0.321870554,HAPPY
136,83,86,86,0.410086004,STRESSED
115,81,74,74,0.333093821,HAPPY
135,84,81,81,0.401779,STRESSED
115,79,70,70,0.330142,HAPPY
130,80,87,87,0.418728177,STRESSED
139,89,86,86,0.402377,STRESSED
116,80,68,68,0.331478,HAPPY
121,81,65,65,0.331351,HAPPY
131,87,78,78,0.391071684,STRESSED
118,78,60,60,0.334409078,HAPPY
134,82,87,87,0.406859337,STRESSED
122,81,60,60,0.340053,DEPRESSED
120,81,62,62,0.378274,SAD
125,81,63,63,0.306671,DEPRESSED
140,92,82,82,0.350866,ANGRY
116,80,61,61,0.336175,HAPPY
123,79,62,62,0.337025,DEPRESSED
123,77,67,67,0.337388,DEPRESSED
119,78,60,60,0.329379639,HAPPY
125,81,70,70,0.373491,SAD
131,88,86,86,0.419693548,STRESSED
130,87,79,79,0.399842,STRESSED
136,82,85,85,0.418603,STRESSED
126,77,72,72,0.394818,SAD
130,85,87,87,0.416250471,STRESSED
116,81,73,73,0.320474,HAPPY
127,81,62,62,0.306173,DEPRESSED
119,81,72,72,0.335386,HAPPY
140,83,83,83,0.416114,STRESSED
161,93,99,99,0.355295,ANGRY
122,79,65,65,0.344429,DEPRESSED
135,80,85,85,0.417064191,STRESSED
122,77,66,66,0.309965,DEPRESSED
132,83,79,79,0.415561,STRESSED
129,78,68,68,0.39606,SAD
128,77,71,71,0.386537,SAD
123,81,69,69,0.38509,SAD
126,78,65,65,0.334451,DEPRESSED
119,80,63,63,0.320831,HAPPY
125,80,60,60,0.323367,DEPRESSED
119,79,73,73,0.339403,HAPPY
115,79,65,65,0.320811,HAPPY
133,80,78,78,0.403173,STRESSED
116,80,68,68,0.338890069,HAPPY
121,77,65,65,0.314468,DEPRESSED
132,84,78,78,0.397479869,STRESSED
119,79,62,62,0.326796,HAPPY
118,79,74,74,0.321251974,HAPPY
121,78,70,70,0.321593578,HAPPY
124,80,62,62,0.398657,SAD
120,80,61,61,0.327419,HAPPY
121,79,72,72,0.325862,HAPPY
138,88,81,81,0.414283,STRESSED
126,81,68,68,0.390136,SAD
135,82,78,78,0.3959,STRESSED
119,79,64,64,0.322298,HAPPY
137,86,87,87,0.393725028,STRESSED
151,100,94,94,0.363648,ANGRY
119,79,67,67,0.333116,HAPPY
124,77,63,63,0.324985,DEPRESSED
126,82,63,63,0.300699,DEPRESSED
135,88,87,87,0.401192,STRESSED
141,86,90,90,0.366577,ANGRY
118,78,57,57,0.327325,HAPPY
139,82,78,78,0.403181,STRESSED
123,81,67,67,0.347546,DEPRESSED
131,88,85,85,0.414962531,STRESSED
120,79,66,66,0.395071,SAD
121,81,74,74,0.322205,HAPPY
121,78,70,70,0.328883,HAPPY
133,87,86,86,0.402188,STRESSED
175,93,98,98,0.380759,ANGRY
130,80,68,68,0.399209,SAD
139,85,85,85,0.392495047,STRESSED
119,80,73,73,0.332036968,HAPPY
129,81,60,60,0.391648,SAD
127,81,71,71,0.377668,SAD
119,80,58,58,0.334352,HAPPY
118,81,69,69,0.336202958,HAPPY
125,78,68,68,0.308956,DEPRESSED
133,84,83,83,0.413839268,STRESSED
119,79,72,72,0.338165096,HAPPY
116,81,58,58,0.322691,HAPPY
115,78,65,65,0.328338261,HAPPY
124,81,68,68,0.317167,DEPRESSED
136,86,80,80,0.418565,STRESSED
127,81,61,61,0.342208,DEPRESSED
168,97,89,89,0.368724,ANGRY
129,80,61,61,0.314726,DEPRESSED
122,81,71,71,0.397401,SAD
130,89,81,81,0.416968842,STRESSED
121,81,70,70,0.331172468,HAPPY
131,81,83,83,0.401739,STRESSED
174,86,93,93,0.368114,ANGRY
116,81,65,65,0.33268,HAPPY
137,87,86,86,0.393043572,STRESSED
144,85,87,87,0.399569,ANGRY
136,82,79,79,0.391815033,STRESSED
119,78,65,65,0.322913,HAPPY
136,87,85,85,0.407894278,STRESSED
120,81,66,66,0.33682,HAPPY
134,88,82,82,0.410061735,STRESSED
120,78,67,67,0.322328,HAPPY
121,77,72,72,0.391821,SAD
126,78,72,72,0.391742,SAD
125,80,68,68,0.399095,SAD
178,88,99,99,0.395567,ANGRY
127,77,67,67,0.37366,SAD
118,80,60,60,0.32841883,HAPPY
118,81,62,62,0.322269,HAPPY
180,89,103,103,0.353539,ANGRY
137,83,84,84,0.413077,STRESSED
121,80,59,59,0.336991,HAPPY
140,87,103,103,0.350513,ANGRY
121,81,63,63,0.335864,HAPPY
120,78,62,62,0.325632,HAPPY
136,89,78,78,0.403528,STRESSED
125,78,68,68,0.310693,DEPRESSED
127,81,61,61,0.388607,SAD
134,81,82,82,0.413833,STRESSED
168,92,103,103,0.378513,ANGRY
118,80,70,70,0.324626141,HAPPY
167,89,99,99,0.361091,ANGRY
118,81,66,66,0.336697373,HAPPY
137,87,84,84,0.408712,STRESSED
121,78,72,72,0.323554,HAPPY
118,80,60,60,0.332341,HAPPY
116,78,61,61,0.335369,HAPPY
123,82,67,67,0.322021,DEPRESSED
142,98,115,115,0.362658,ANGRY
126,78,67,67,0.397775,SAD
115,81,57,57,0.327395,HAPPY
131,82,85,85,0.403575,STRESSED
162,100,100,100,0.373666,ANGRY
120,78,68,68,0.338594,DEPRESSED
142,85,105,105,0.395684,ANGRY
115,79,60,60,0.339897721,HAPPY
132,88,86,86,0.411801953,STRESSED
120,80,72,72,0.337015,HAPPY
157,85,100,100,0.383572,ANGRY
125,80,67,67,0.330496,DEPRESSED
137,87,78,78,0.394078371,STRESSED
119,81,63,63,0.325331682,HAPPY
120,78,66,66,0.335952,HAPPY
172,93,85,85,0.372129,ANGRY
125,81,67,67,0.306214,DEPRESSED
129,77,60,60,0.393978,SAD
119,78,67,67,0.333254,HAPPY
124,77,61,61,0.376661,SAD
140,80,84,84,0.394282,STRESSED
152,89,89,89,0.386141,ANGRY
115,80,59,59,0.322170894,HAPPY
120,80,69,69,0.334758,HAPPY
173,93,115,115,0.387191,ANGRY
133,82,80,80,0.391779,STRESSED
115,78,72,72,0.337977,HAPPY
121,80,68,68,0.326538087,HAPPY
119,81,65,65,0.326252,HAPPY
124,80,66,66,0.373099,SAD
119,78,72,72,0.326402143,HAPPY
135,86,84,84,0.409599,STRESSED
130,87,82,82,0.409007771,STRESSED
126,79,61,61,0.306437,DEPRESSED
121,79,61,61,0.399674,SAD
138,84,87,87,0.393444,STRESSED
166,91,92,92,0.396823,ANGRY
146,86,107,107,0.375718,ANGRY
126,79,65,65,0.385513,SAD
116,79,74,74,0.328127,HAPPY
121,79,60,60,0.32223524,HAPPY
119,80,66,66,0.331193,HAPPY
124,80,65,65,0.349756,DEPRESSED
133,88,87,87,0.408437459,STRESSED
116,80,67,67,0.323149,HAPPY
121,79,66,66,0.32534,HAPPY
121,79,66,66,0.329229,HAPPY
135,85,84,84,0.395772,STRESSED
119,79,71,71,0.330721941,HAPPY
120,77,64,64,0.371964,SAD
120,81,69,69,0.33973,HAPPY
118,79,64,64,0.321074283,HAPPY
120,80,61,61,0.32363,HAPPY
177,91,105,105,0.369438,ANGRY
138,87,80,80,0.397917834,STRESSED
124,79,66,66,0.318568,DEPRESSED
125,77,65,65,0.305385,DEPRESSED
133,85,83,83,0.419205,STRESSED
121,79,62,62,0.321222,HAPPY
120,77,60,60,0.308126,DEPRESSED
171,93,82,82,0.391332,ANGRY
132,83,83,83,0.414753,STRESSED
123,77,63,63,0.311167,DEPRESSED
121,78,65,65,0.376355,SAD
124,81,66,66,0.372563,SAD
118,78,61,61,0.324848,HAPPY
127,78,64,64,0.395243,SAD
115,78,66,66,0.33981,HAPPY
135,80,86,86,0.412292,STRESSED
124,79,68,68,0.373238,SAD
131,82,86,86,0.409439951,STRESSED
116,81,73,73,0.329631365,HAPPY
136,80,81,81,0.405689,STRESSED
119,81,60,60,0.32531,HAPPY
132,87,83,83,0.390274624,STRESSED
125,82,64,64,0.347666,DEPRESSED
127,79,67,67,0.327546,DEPRESSED
129,81,70,70,0.395596,SAD
137,87,78,78,0.396938,STRESSED
134,89,85,85,0.4129,STRESSED
117,79,74,74,0.336327797,HAPPY
136,86,78,78,0.394106,STRESSED
130,85,87,87,0.393311838,STRESSED
120,81,63,63,0.325992807,HAPPY
125,81,60,60,0.372739,SAD
120,81,72,72,0.375278,SAD
128,80,66,66,0.386065,SAD
122,80,64,64,0.398972,SAD
123,78,71,71,0.394831,SAD
174,87,95,95,0.372043,ANGRY
129,78,66,66,0.387041,SAD
132,85,80,80,0.392320764,STRESSED
121,80,67,67,0.304168,DEPRESSED
117,81,60,60,0.339647,HAPPY
131,88,78,78,0.415468582,STRESSED
122,81,68,68,0.311896,DEPRESSED
148,91,88,88,0.362387,ANGRY
135,89,81,81,0.409749501,STRESSED
140,96,113,113,0.370077,ANGRY
132,81,79,79,0.391795,STRESSED
119,80,61,61,0.331219,HAPPY
120,80,60,60,0.308073,DEPRESSED
127,80,64,64,0.373837,SAD
170,93,114,114,0.356244,ANGRY
167,91,95,95,0.366519,ANGRY
121,78,68,68,0.381554,SAD
162,98,115,115,0.398259,ANGRY
119,79,74,74,0.337274709,HAPPY
119,80,62,62,0.33255883,HAPPY
115,80,63,63,0.332509,HAPPY
130,85,79,79,0.402328,STRESSED
152,87,84,84,0.399213,ANGRY
123,81,62,62,0.3478,DEPRESSED
117,79,65,65,0.335894,HAPPY
141,85,85,85,0.381022,ANGRY
